dataset	gene	UTRPRISM	Sequence-only	Zero coverage	miRanda	tg_repression	wt_mean
GSE83684	Cdk1	0.082884500299222	0.0478755236385398	0.0909634949132256	0.0658288450029922	-0.1651964367396461	46.6007
GSE83684	Cdkal1	0.0610412926391382	0.0616397366846199	0.0694195092758827	0.0611909036505086	0.3625155935173283	15.1639
GSE83684	Cds2	0.0038898862956313	0.0020945541591861	0.0101735487731897	0.0070317175344105	0.3232514710980538	36.9666
GSE83684	Celf1	0.1562902689251842	0.0480061706233334	0.0193811416314327	0.2011749785124355	0.1988312740344771	44.2589
GSE83684	Celf2	0.0418910831837223	0.0278276481149012	0.0290245362058647	0.119539198084979	0.0591092811278279	29.6618
GSE83684	Cenpw	0.1299689119484785	0.2817732718461412	0.3710088116248797	0.3290265045227759	-0.5871762235690561	22.8379
GSE83684	Cep57	0.1529024536205865	0.1636744464392579	0.1514063435068821	0.0788450029922202	0.9875647057482752	20.9672
GSE83684	Chaf1a	0.0121230507052853	0.0392759987467487	0.0999940321369425	0.2857769245943925	0.1262850372423329	44.3609
GSE83684	Chmp1a	0.0748055056852184	0.0807899461400359	0.0607420706163973	0.0070317175344105	-0.0676735432614146	23.172
GSE83684	Chmp1b	0.1502094554159186	0.1388390185517654	0.1433273488928785	0.0435368043087971	0.186746319879699	12.1406
GSE83684	Cisd1	0.0011968880909634	0.0682226211849192	0.0080789946140035	0.0330640335128665	-0.2119472879575843	75.0334
GSE83684	Clpx	0.1080191502094554	0.0921603830041891	0.1520047875523638	0.0330640335128665	0.3421145116662067	20.3329
GSE83684	Clta	0.1322561340514662	0.1304608019150209	0.0508677438659485	0.0532615200478755	-0.3649945736999989	274.129
GSE83684	Cnot10	0.2447014493618531	0.2929972100240206	0.2046388531093395	0.1454032534800101	0.0363094324581423	21.4595
GSE83684	Cog8	0.0083782166367444	0.0335128665469778	0.0553560742070616	0.1229802513464991	-0.2659631107048241	28.298
GSE83684	Cpsf3	0.3081895658545399	0.318140977502814	0.291338641415975	0.2857769245943925	0.5552254442565454	95.3956
GSE83684	Cstf1	0.0511669658886894	0.0658288450029922	0.0272292040694195	0.0070317175344105	-0.1714324880650544	47.2207
GSE83684	Ctbp1	0.026032315978456	0.0406941950927588	0.0155595451825254	0.0070317175344105	-0.4783117569919266	37.5041
GSE83684	Ctsa	0.1508717224413201	0.2044763946149982	0.1434251555374309	0.2481636388050348	0.0317777953897131	41.5335
GSE83684	Cux1	0.0032914422501496	0.0119688809096349	0.0167564332734889	0.0330640335128665	-0.3090553333972248	13.2583
GSE83684	Cyp51	0.0897666068222621	0.106523040095751	0.1181926989826451	0.0176540993417115	0.4952823894263298	86.3113
GSE83684	Dazap2	0.1603830041891083	0.1172950329144225	0.1448234590065829	0.0923099940155595	0.4499781613013844	174.513
GSE83684	Dcaf7	0.1304477496334637	0.122978138857144	0.1451774396560643	0.1136424154565795	-0.3653596606944322	25.7628
GSE83684	Dcun1d1	0.1047277079593058	0.1143028126870137	0.0547576301615798	0.0923099940155595	1.1593997992010343	15.9174
GSE83684	Dcun1d5	0.0281268701376421	0.1026331538001196	0.0388988629563135	0.1451226810293237	0.1609185288113535	60.7201
GSE83684	Dgcr8	0.1090647462664488	0.0941193346736686	0.0862622350428212	0.1284424541136864	-0.1311819581712772	19.1327
GSE83684	Dgkz	0.1706891721413521	0.265006274544909	0.0307693072802956	0.0414269160570328	-0.2330764002745962	10.6898
GSE83684	Dlat	0.0694195092758827	0.0128665469778575	0.0688210652304009	0.0435368043087971	-0.0360057991317885	20.0936
GSE83684	Dnajc2	0.1666666666666666	0.1663674446439258	0.1666666666666666	0.1313584679832435	0.6212435833811902	77.9492
GSE83684	Dnmt1	0.1023339317773788	0.1023339317773788	0.1134051466187911	0.0243865948533812	-0.3512703870781672	107.757
GSE83684	Donson	0.1092160383004189	0.06852184320766	0.1011370436864153	0.0070317175344105	-0.1633680427243677	14.9543
GSE83684	Dpp3	0.1361460203470975	0.1475164572112507	0.1630760023937761	0.155146618791143	0.1039289434618604	53.5269
GSE83684	Dtx3l	0.0616397366846199	0.0897666068222621	0.1316576900059844	0.0532615200478755	-0.5206150850208449	25.696
GSE83684	E2f3	0.1500851249355553	0.1544109967823271	0.0626501290550386	0.2680581734028921	0.165238714986204	12.0304
GSE83684	E2f4	0.0721125074805505	0.1178934769599042	0.0703171753441053	0.0435368043087971	-0.379039355335288	42.5736
GSE83684	Ebna1bp2	0.0586475164572112	0.0553560742070616	0.0843806104129263	0.0788450029922202	0.4924973947944666	48.3999
GSE83684	Eif2ak2	0.2301589275086989	0.2454623519016761	0.166585437419496	0.2787791907246146	-0.0667539582644876	20.8936
GSE83684	Eif4a2	0.3292552935774189	0.3265109054408676	0.3195517140200023	0.0921591396993854	0.7737223311874448	78.3505
GSE83684	Eif4e	0.1382405745062836	0.1262716935966487	0.1047277079593058	0.0858767205266307	0.1766116508230153	60.5184
GSE83684	Eif4g2	0.1604074542376591	0.0735952282819533	0.1564436356523622	0.2250743397904747	0.3965884494690002	60.3145
GSE83684	Elf4	0.0538599640933572	0.0356074207061639	0.0005984440454817	0.0923099940155595	0.5428432505883714	17.2038
GSE83684	Elovl5	0.2923987659785389	0.2553026949874923	0.2207802649399649	0.2309546425830237	0.1025796453841705	29.9659
GSE83684	Etv6	0.0131574803019075	0.1069532235578078	0.2199596837695675	0.0671119355603409	-0.8848054523473388	10.2197
GSE83684	Exoc7	0.0053859964093357	0.0044883303411131	0.0362058647516457	0.0532615200478755	-0.2461524382034716	14.9709
GSE83684	Exosc4	0.3010422209733916	0.2241570807866306	0.2456762003279009	0.310048720970905	-0.5943234084795845	28.312
GSE83684	Ezh2	0.3130285081502774	0.3316747647252876	0.2245847776390802	0.048615289996701	0.1825804697826081	119.808
GSE83684	Fam50a	0.2669640651756955	0.2982978328368402	0.3233305317531758	0.1268701376421304	0.0948543028452171	75.3925
GSE83684	Fam76b	0.2911761829216336	0.3103951885761839	0.3092239954511621	0.2296964181217477	-0.0236972724652866	16.1576
